bun install v1.3.14 (0d9b296a)
   - "@img/sharp-darwin-x64": "0.35.3" - @img/sharp-darwin-x64@0.35.3
   - "@img/sharp-freebsd-wasm32": "0.35.3" - @img/sharp-freebsd-wasm32@0.35.3
   - "@img/sharp-libvips-darwin-arm64": "1.3.2" - @img/sharp-libvips-darwin-arm64@1.3.2
   - "@img/sharp-libvips-darwin-x64": "1.3.2" - @img/sharp-libvips-darwin-x64@1.3.2
   - "@img/sharp-libvips-linux-arm": "1.3.2" - @img/sharp-libvips-linux-arm@1.3.2
   - "@img/sharp-libvips-linux-arm64": "1.3.2" - @img/sharp-libvips-linux-arm64@1.3.2
   - "@img/sharp-libvips-linux-ppc64": "1.3.2" - @img/sharp-libvips-linux-ppc64@1.3.2
   - "@img/sharp-libvips-linux-riscv64": "1.3.2" - @img/sharp-libvips-linux-riscv64@1.3.2
   - "@img/sharp-libvips-linux-s390x": "1.3.2" - @img/sharp-libvips-linux-s390x@1.3.2
   - "@img/sharp-libvips-linux-x64": "1.3.2" - @img/sharp-libvips-linux-x64@1.3.2
   - "@img/sharp-libvips-linuxmusl-arm64": "1.3.2" - @img/sharp-libvips-linuxmusl-arm64@1.3.2
   - "@img/sharp-libvips-linuxmusl-x64": "1.3.2" - @img/sharp-libvips-linuxmusl-x64@1.3.2
   - "@img/sharp-linux-arm": "0.35.3" - @img/sharp-linux-arm@0.35.3
   - "@img/sharp-linux-arm64": "0.35.3" - @img/sharp-linux-arm64@0.35.3
   - "@img/sharp-linux-ppc64": "0.35.3" - @img/sharp-linux-ppc64@0.35.3
   - "@img/sharp-linux-riscv64": "0.35.3" - @img/sharp-linux-riscv64@0.35.3
   - "@img/sharp-linux-s390x": "0.35.3" - @img/sharp-linux-s390x@0.35.3
   - "@img/sharp-linux-x64": "0.35.3" - @img/sharp-linux-x64@0.35.3
   - "@img/sharp-linuxmusl-arm64": "0.35.3" - @img/sharp-linuxmusl-arm64@0.35.3
   - "@img/sharp-linuxmusl-x64": "0.35.3" - @img/sharp-linuxmusl-x64@0.35.3
   - "@img/sharp-webcontainers-wasm32": "0.35.3" - @img/sharp-webcontainers-wasm32@0.35.3
   - "@img/sharp-win32-arm64": "0.35.3" - @img/sharp-win32-arm64@0.35.3
   - "@img/sharp-win32-ia32": "0.35.3" - @img/sharp-win32-ia32@0.35.3
   - "@img/sharp-win32-x64": "0.35.3" - @img/sharp-win32-x64@0.35.3
   - "lightningcss-darwin-x64": "1.32.0" - lightningcss-darwin-x64@1.32.0
   - "lightningcss-freebsd-x64": "1.32.0" - lightningcss-freebsd-x64@1.32.0
   - "lightningcss-darwin-arm64": "1.32.0" - lightningcss-darwin-arm64@1.32.0
   - "lightningcss-android-arm64": "1.32.0" - lightningcss-android-arm64@1.32.0
   - "lightningcss-linux-x64-gnu": "1.32.0" - lightningcss-linux-x64-gnu@1.32.0
   - "lightningcss-linux-x64-musl": "1.32.0" - lightningcss-linux-x64-musl@1.32.0
   - "lightningcss-win32-x64-msvc": "1.32.0" - lightningcss-win32-x64-msvc@1.32.0
   - "lightningcss-linux-arm64-gnu": "1.32.0" - lightningcss-linux-arm64-gnu@1.32.0
   - "lightningcss-linux-arm64-musl": "1.32.0" - lightningcss-linux-arm64-musl@1.32.0
   - "lightningcss-win32-arm64-msvc": "1.32.0" - lightningcss-win32-arm64-msvc@1.32.0
   - "lightningcss-linux-arm-gnueabihf": "1.32.0" - lightningcss-linux-arm-gnueabihf@1.32.0
   - "@jridgewell/sourcemap-codec": "^1.5.5" - @jridgewell/sourcemap-codec@1.5.5
   - "tapable": "^2.3.3" - tapable@2.3.3
   - "graceful-fs": "^4.2.4" - graceful-fs@4.2.11
   - "@jridgewell/gen-mapping": "^0.3.5" - @jridgewell/gen-mapping@0.3.13
   - "@jridgewell/trace-mapping": "^0.3.24" - @jridgewell/trace-mapping@0.3.31
   - "@emnapi/core": "^1.11.1" - @emnapi/core@1.11.3
   - "@emnapi/runtime": "^1.11.1" - @emnapi/runtime@1.11.3
   - "@tybys/wasm-util": "^0.10.2" - @tybys/wasm-util@0.10.3
   - "@emnapi/wasi-threads": "^1.2.2" - @emnapi/wasi-threads@1.2.3
   - "@napi-rs/wasm-runtime": "^1.1.4" - @napi-rs/wasm-runtime@1.2.2
   - "punycode": "^2.1.0" - punycode@2.3.1
   - "color-convert": "^2.0.1" - color-convert@2.0.1
   - "has-flag": "^4.0.0" - has-flag@4.0.0
Enqueue package manifest for download: p-locate
   - "concat-map": "0.0.1" - concat-map@0.0.1
Enqueue package manifest for download: balanced-match
Enqueue package manifest for download: isexe
Enqueue package manifest for download: shebang-regex
Enqueue package manifest for download: resolve-from
Enqueue package manifest for download: parent-module
Enqueue package manifest for download: argparse
   - "keyv": "^4.5.4" - keyv@4.5.4
   - "flatted": "^3.2.9" - flatted@3.4.4
   - "@typescript-eslint/types": "8.66.0" - @typescript-eslint/types@8.66.0
   - "@typescript-eslint/scope-manager": "8.66.0" - @typescript-eslint/scope-manager@8.66.0
   - "@typescript-eslint/visitor-keys": "8.66.0" - @typescript-eslint/visitor-keys@8.66.0
   - "ignore": "^7.0.5" - ignore@7.0.6
   - "ts-api-utils": "^2.5.0" - ts-api-utils@2.5.0
   - "@typescript-eslint/type-utils": "8.66.0" - @typescript-eslint/type-utils@8.66.0
   - "minimatch": "^10.2.2" - minimatch@10.2.6
   - "@typescript-eslint/tsconfig-utils": "8.66.0" - @typescript-eslint/tsconfig-utils@8.66.0
   - "@typescript-eslint/project-service": "8.66.0" - @typescript-eslint/project-service@8.66.0
   - "call-bind": "^1.0.8" - call-bind@1.0.9
   - "call-bound": "^1.0.4" - call-bound@1.0.4
   - "define-properties": "^1.2.1" - define-properties@1.2.1
   - "es-abstract": "^1.24.0" - es-abstract@1.24.2
   - "es-object-atoms": "^1.1.1" - es-object-atoms@1.1.2
   - "get-intrinsic": "^1.3.0" - get-intrinsic@1.3.0
   - "is-string": "^1.1.1" - is-string@1.1.1
   - "math-intrinsics": "^1.1.0" - math-intrinsics@1.1.0
   - "es-errors": "^1.3.0" - es-errors@1.3.0
   - "es-shim-unscopables": "^1.0.2" - es-shim-unscopables@1.1.0
   - "gopd": "^1.2.0" - gopd@1.2.0
   - "has-proto": "^1.2.0" - has-proto@1.2.0
   - "globalthis": "^1.0.4" - globalthis@1.0.4
   - "has-symbols": "^1.1.0" - has-symbols@1.1.0
   - "function-bind": "^1.1.2" - function-bind@1.1.2
   - "internal-slot": "^1.1.0" - internal-slot@1.1.0
   - "es-set-tostringtag": "^2.1.0" - es-set-tostringtag@2.1.0
   - "iterator.prototype": "^1.1.5" - iterator.prototype@1.1.5
   - "has-property-descriptors": "^1.0.2" - has-property-descriptors@1.0.2
   - "object.assign": "^4.1.4" - object.assign@4.1.7
   - "loose-envify": "^1.4.0" - loose-envify@1.4.0
   - "object-assign": "^4.1.1" - object-assign@4.1.1
   - "react-is": "^16.13.1" - react-is@16.13.1
   - "node-exports-info": "^1.6.0" - node-exports-info@1.6.2
   - "object-keys": "^1.1.1" - object-keys@1.1.1
   - "path-parse": "^1.0.7" - path-parse@1.0.7
   - "supports-preserve-symlinks-flag": "^1.0.0" - supports-preserve-symlinks-flag@1.0.0
   - "regexp.prototype.flags": "^1.5.3" - regexp.prototype.flags@1.5.4
   - "set-function-name": "^2.0.2" - set-function-name@2.0.2
   - "side-channel": "^1.1.0" - side-channel@1.1.1
   - "json5": "^1.0.2" - json5@1.0.2
   - "minimist": "^1.2.6" - minimist@1.2.8
   - "strip-bom": "^3.0.0" - strip-bom@3.0.0
   - "@types/json5": "^0.0.29" - @types/json5@0.0.29
   - "language-subtag-registry": "^0.3.20" - language-subtag-registry@0.3.23
   - "is-regex": "^1.2.1" - is-regex@1.2.1
   - "merge2": "^1.3.0" - merge2@1.4.1
   - "micromatch": "^4.0.4" - micromatch@4.0.8
   - "glob-parent": "^5.1.2" - glob-parent@5.1.2
   - "@nodelib/fs.stat": "^2.0.2" - @nodelib/fs.stat@2.0.5
   - "@nodelib/fs.walk": "^1.2.3" - @nodelib/fs.walk@1.2.8
   - "json5": "^2.2.3" - json5@2.2.3
   - "gensync": "^1.0.0-beta.2" - gensync@1.0.0-beta.2
   - "@babel/types": "^7.29.7" - @babel/types@7.29.8
   - "@babel/helpers": "^7.29.7" - @babel/helpers@7.29.7
   - "@babel/template": "^7.29.7" - @babel/template@7.29.7
   - "@babel/traverse": "^7.29.7" - @babel/traverse@7.29.8
   - "@babel/generator": "^7.29.7" - @babel/generator@7.29.8
   - "@babel/code-frame": "^7.29.7" - @babel/code-frame@7.29.7
   - "convert-source-map": "^2.0.0" - convert-source-map@2.0.0
   - "@babel/helper-module-transforms": "^7.29.7" - @babel/helper-module-transforms@7.29.7
   - "@babel/helper-compilation-targets": "^7.29.7" - @babel/helper-compilation-targets@7.29.7
   - "hermes-estree": "0.25.1" - hermes-estree@0.25.1
   - "fdir": "^6.5.0" - fdir@6.5.0
   - "picomatch": "^4.0.4" - picomatch@4.0.5
   - "resolve-pkg-maps": "^1.0.0" - resolve-pkg-maps@1.0.0
   - "napi-postinstall": "^0.3.4" - napi-postinstall@0.3.4
   - "@unrs/resolver-binding-darwin-arm64": "1.12.2" - @unrs/resolver-binding-darwin-arm64@1.12.2
   - "@unrs/resolver-binding-android-arm64": "1.12.2" - @unrs/resolver-binding-android-arm64@1.12.2
   - "@unrs/resolver-binding-win32-arm64-msvc": "1.12.2" - @unrs/resolver-binding-win32-arm64-msvc@1.12.2
   - "@unrs/resolver-binding-linux-arm64-gnu": "1.12.2" - @unrs/resolver-binding-linux-arm64-gnu@1.12.2
   - "@unrs/resolver-binding-linux-arm64-musl": "1.12.2" - @unrs/resolver-binding-linux-arm64-musl@1.12.2
   - "@unrs/resolver-binding-openharmony-arm64": "1.12.2" - @unrs/resolver-binding-openharmony-arm64@1.12.2
   - "@unrs/resolver-binding-android-arm-eabi": "1.12.2" - @unrs/resolver-binding-android-arm-eabi@1.12.2
   - "@unrs/resolver-binding-linux-arm-gnueabihf": "1.12.2" - @unrs/resolver-binding-linux-arm-gnueabihf@1.12.2
   - "@unrs/resolver-binding-linux-arm-musleabihf": "1.12.2" - @unrs/resolver-binding-linux-arm-musleabihf@1.12.2
   - "@unrs/resolver-binding-win32-ia32-msvc": "1.12.2" - @unrs/resolver-binding-win32-ia32-msvc@1.12.2
   - "@unrs/resolver-binding-linux-loong64-gnu": "1.12.2" - @unrs/resolver-binding-linux-loong64-gnu@1.12.2
   - "@unrs/resolver-binding-linux-loong64-musl": "1.12.2" - @unrs/resolver-binding-linux-loong64-musl@1.12.2
   - "@unrs/resolver-binding-linux-ppc64-gnu": "1.12.2" - @unrs/resolver-binding-linux-ppc64-gnu@1.12.2
   - "@unrs/resolver-binding-linux-riscv64-gnu": "1.12.2" - @unrs/resolver-binding-linux-riscv64-gnu@1.12.2
   - "@unrs/resolver-binding-linux-riscv64-musl": "1.12.2" - @unrs/resolver-binding-linux-riscv64-musl@1.12.2
   - "@unrs/resolver-binding-linux-s390x-gnu": "1.12.2" - @unrs/resolver-binding-linux-s390x-gnu@1.12.2
   - "@unrs/resolver-binding-wasm32-wasi": "1.12.2" - @unrs/resolver-binding-wasm32-wasi@1.12.2
   - "@unrs/resolver-binding-darwin-x64": "1.12.2" - @unrs/resolver-binding-darwin-x64@1.12.2
   - "@unrs/resolver-binding-win32-x64-msvc": "1.12.2" - @unrs/resolver-binding-win32-x64-msvc@1.12.2
   - "@unrs/resolver-binding-freebsd-x64": "1.12.2" - @unrs/resolver-binding-freebsd-x64@1.12.2
   - "@unrs/resolver-binding-linux-x64-gnu": "1.12.2" - @unrs/resolver-binding-linux-x64-gnu@1.12.2
   - "@unrs/resolver-binding-linux-x64-musl": "1.12.2" - @unrs/resolver-binding-linux-x64-musl@1.12.2
   - "@img/sharp-wasm32": "0.35.3" - @img/sharp-wasm32@0.35.3
   - "@jridgewell/resolve-uri": "^3.1.0" - @jridgewell/resolve-uri@3.1.2
   - "color-name": "~1.1.4" - color-name@1.1.4
   - "json-buffer": "3.0.1" - json-buffer@3.0.1
   - "eslint-visitor-keys": "^5.0.0" - eslint-visitor-keys@5.0.1
   - "brace-expansion": "^5.0.8" - brace-expansion@5.0.9
   - "call-bind-apply-helpers": "^1.0.2" - call-bind-apply-helpers@1.0.2
   - "es-define-property": "^1.0.1" - es-define-property@1.0.1
   - "set-function-length": "^1.2.2" - set-function-length@1.2.2
   - "define-data-property": "^1.0.1" - define-data-property@1.1.4
   - "array-buffer-byte-length": "^1.0.2" - array-buffer-byte-length@1.0.2
   - "arraybuffer.prototype.slice": "^1.0.4" - arraybuffer.prototype.slice@1.0.4
   - "available-typed-arrays": "^1.0.7" - available-typed-arrays@1.0.7
   - "data-view-buffer": "^1.0.2" - data-view-buffer@1.0.2
   - "data-view-byte-length": "^1.0.2" - data-view-byte-length@1.0.2
   - "data-view-byte-offset": "^1.0.1" - data-view-byte-offset@1.0.1
   - "es-to-primitive": "^1.3.0" - es-to-primitive@1.3.4
   - "function.prototype.name": "^1.1.8" - function.prototype.name@1.2.0
   - "get-proto": "^1.0.1" - get-proto@1.0.1
   - "get-symbol-description": "^1.1.0" - get-symbol-description@1.1.0
   - "is-array-buffer": "^3.0.5" - is-array-buffer@3.0.5
   - "is-callable": "^1.2.7" - is-callable@1.2.7
   - "is-data-view": "^1.0.2" - is-data-view@1.0.2
   - "is-negative-zero": "^2.0.3" - is-negative-zero@2.0.3
   - "is-set": "^2.0.3" - is-set@2.0.3
   - "is-shared-array-buffer": "^1.0.4" - is-shared-array-buffer@1.0.4
   - "is-typed-array": "^1.1.15" - is-typed-array@1.1.15
   - "is-weakref": "^1.1.1" - is-weakref@1.1.1
   - "object-inspect": "^1.13.4" - object-inspect@1.13.4
   - "own-keys": "^1.0.1" - own-keys@1.0.2
   - "safe-array-concat": "^1.1.3" - safe-array-concat@1.1.4
   - "safe-push-apply": "^1.0.0" - safe-push-apply@1.0.0
Enqueue package manifest for download: set-proto
   - "stop-iteration-iterator": "^1.1.0" - stop-iteration-iterator@1.1.0
   - "string.prototype.trim": "^1.2.10" - string.prototype.trim@1.2.11
   - "string.prototype.trimstart": "^1.0.8" - string.prototype.trimstart@1.0.8
   - "typed-array-buffer": "^1.0.3" - typed-array-buffer@1.0.3
   - "typed-array-byte-length": "^1.0.3" - typed-array-byte-length@1.0.3
   - "typed-array-byte-offset": "^1.0.4" - typed-array-byte-offset@1.0.4
Enqueue package manifest for download: typed-array-length
   - "unbox-primitive": "^1.1.0" - unbox-primitive@1.1.0
   - "which-typed-array": "^1.1.19" - which-typed-array@1.1.22
   - "has-tostringtag": "^1.0.2" - has-tostringtag@1.0.2
   - "dunder-proto": "^1.0.0" - dunder-proto@1.0.1
